movie,genres,directors,writers,production_budget,domestic_gross,worldwide_gross,tconst
Foodfight!,"Action,Animation,Comedy",nm0440415,"nm0440415,nm0923312,nm0295165,nm0841854,nm0220297",45000000,0,73706,tt0249516
Mortal Kombat,"Action,Adventure,Fantasy",nm2585406,nm3859643,20000000,70433227,122133227,tt0293429
The Overnight,Genre Data Missing,nm1208371,"nm1170333,nm1208371",200000,1109808,1165996,tt0326592
On the Road,"Adventure,Drama,Romance",nm0758574,"nm0449616,nm1433580",25000000,720828,9313302,tt0337692
The Secret Life of Walter Mitty,"Adventure,Comedy,Drama",nm0001774,"nm0175726,nm0862122",91000000,58236838,187861183,tt0359950
A Walk Among the Tombstones,"Action,Crime,Drama",nm0291082,"nm0088747,nm0291082",28000000,26017685,62108587,tt0365907
Jurassic World,"Action,Adventure,Sci-Fi",nm1119880,"nm0415425,nm0798646,nm1119880,nm2081046,nm0000341",215000000,652270625,1648854864,tt0369610
The Rum Diary,"Comedy,Drama",nm0732430,"nm0732430,nm0860219",45000000,13109815,21544732,tt0376136
The Three Stooges,"Comedy,Family","nm0268380,nm0268370","nm0148808,nm0268370,nm0268380",30000000,44338224,54052249,tt0383010
Anderson's Cross,"Comedy,Drama,Romance",nm1516329,nm1516329,300000,0,0,tt0393049
Tangled,"Adventure,Animation,Comedy","nm1977355,nm0397174","nm1557594,nm0342278,nm0342303",260000000,200821936,586477240,tt0398286
John Carter,"Action,Adventure,Sci-Fi",nm0004056,"nm0004056,nm0028764,nm0149290,nm0123194",275000000,73058679,282778100,tt0401729
Action Jackson,"Action,Thriller",nm0222150,"nm6859370,nm0222150,nm1209132",7000000,20257000,20257000,tt0403935
Dinner for Schmucks,Comedy,nm0005366,"nm1115862,nm1911349,nm0891554",69000000,73026337,86796502,tt0427152
The A-Team,"Action,Adventure,Thriller",nm0138620,"nm0138620,nm0089141,nm0940790,nm0526967,nm0004798",110000000,77222099,177241171,tt0429493
The Possession,"Horror,Mystery,Thriller",nm0097079,"nm0925482,nm1757236,nm1340000",14000000,49130588,82925064,tt0431021
Real Steel,"Action,Drama,Family",nm0506613,"nm0309691,nm0319659,nm0505230,nm0558577",110000000,85463309,263880341,tt0433035
The Giver,"Drama,Romance,Sci-Fi",nm0637518,"nm2276729,nm0004332,nm0523342",25000000,45090374,66540205,tt0435651
Toy Story 3,"Adventure,Animation,Comedy",nm0881279,"nm0005124,nm0004056,nm0881279,nm1578335",200000000,415004880,1068879522,tt0435761
The Devil Inside,"Horror,Thriller",nm1802289,"nm1685777,nm1802289",1000000,53262945,101759490,tt0436230
Alita: Battle Angel,"Action,Adventure,Sci-Fi",nm0001675,"nm0000116,nm0436164,nm1738737",170000000,85710210,402976036,tt0437086
Lincoln,"Biography,Drama,History",nm0000229,"nm1065785,nm0329447",65000000,182207973,273346281,tt0443272
Before We Go,"Comedy,Drama,Romance",nm0262635,"nm0060103,nm2267102,nm1281191,nm1343759",3000000,37151,483938,tt0443465
The History of Love,"Drama,Romance,War",nm0586123,"nm0586123,nm0738925,nm1842569",20000000,0,476624,tt0443533
Shazam!,"Action,Adventure,Comedy",nm2497546,"nm2849655,nm0501359,nm1791910,nm1304148",85000000,139606856,362899733,tt0448115
Puss in Boots,"Action,Adventure,Animation",nm3735491,"nm1117226,nm0528244,nm0204030,nm0011470,nm0674518,nm0825738",130000000,149260504,554987477,tt0448694
Wonder Woman,"Action,Adventure,Fantasy",nm0420941,"nm0374302,nm0811583,nm0297229,nm0551376,nm4243936",150000000,412563408,821133378,tt0451279
42,"Biography,Drama,Sport",nm0001338,nm0001338,31000000,95020213,97470701,tt0453562
Life of Pi,"Adventure,Drama,Fantasy",nm0000487,"nm1674631,nm1341735",120000000,124987022,620912003,tt0454876
The Crazies,"Horror,Thriller",nm0252135,"nm0466925,nm1242522,nm0001681",19000000,39123589,56445534,tt0455407
The Equalizer,"Action,Crime,Thriller",nm0298807,"nm0921013,nm0805994,nm2030456",55000000,101530738,192903624,tt0455944
Captain America: The First Avenger,"Action,Adventure,Sci-Fi",nm0002653,"nm1321655,nm1321656,nm0800209,nm0456158",140000000,176654505,370569776,tt0458339
Sin City: A Dame to Kill For,"Crime,Thriller","nm0588340,nm0001675",nm0588340,65000000,13757804,40650842,tt0458481
House at the End of the Drive,"Horror,Thriller",nm0175730,"nm0003905,nm1952191",1400000,0,0,tt0464054
Piranha 3D,"Comedy,Horror",nm0014960,"nm1539257,nm0831457",24000000,25003155,83660160,tt0464154
